Reg,Faculty,Province,Year,Language,Friends,SameProvince_pct,SameFaculty_pct,SocMember,Societies,SocHours,ComfortScore,Hobbies,Barriers,FriendshipForm,MixerInterest,Silo_Index,data_source,Silo_Label
ANON-2023950,Data Science,KPK,2nd Year,Pashto,1.0,12.5,37.5,Yes,Microsoft Club Giki,1.5,5.0,"Reading, Debating",Lack of time,Hostel wing / roommate,"Yes, definitely",0.453125,synthetic,Low
ANON-2024586,Computer Engineering,Punjab,2nd Year,Urdu,1.0,87.5,37.5,Yes,Project Topi,0.5,5.0,"Music, Art, Gaming, Coding / Programming",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.921875,synthetic,High
ANON-2024711,Computer Science (CS),KPK,1st Year (Freshie),Urdu,4.0,62.5,12.5,Yes,"Microsoft Club Giki, Science Society",1.5,5.0,"Cricket, Coding / Programming, Hiking, Reading",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.671875,synthetic,Moderate
ANON-2024812,Other,Punjab,1st Year (Freshie),Pashto,4.0,12.5,37.5,Yes,"Microsoft Club Giki, ACM",0.5,5.0,"Debating, Fitness",Never thought about it,Shared classes,"Yes, definitely",0.453125,synthetic,Low
ANON-2024563,Data Science,Punjab,2nd Year,Punjabi,12.0,12.5,62.5,Yes,"Project Topi, Microsoft Club Giki",4.0,5.0,"Music, Hiking, Reading, Art",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.671875,synthetic,Moderate
ANON-2024502,Computer Science (CS),Punjab,2nd Year,Urdu,1.0,12.5,62.5,Yes,Project Topi,4.0,5.0,"Travelling, Hiking",I already interact with diverse groups — no barrier,Hostel wing / roommate,Maybe,0.671875,synthetic,Moderate
ANON-2025153,Data Science,Punjab,4th Year,Pashto,4.0,62.5,12.5,Yes,IEEE,0.5,5.0,"Music, Art, Debating",I already interact with diverse groups — no barrier,Society / club,Maybe,0.671875,synthetic,Moderate
ANON-2023772,Software Engineering,Balochistan,2nd Year,Urdu,8.0,87.5,12.5,Yes,"GDSC, ACM",1.5,5.0,"Cooking, Cricket",I already interact with diverse groups — no barrier,Shared classes,"Yes, definitely",0.890625,synthetic,Moderate
ANON-2024195,Computer Science (CS),KPK,1st Year (Freshie),Urdu,8.0,12.5,62.5,Yes,"Microsoft Club Giki, ACM",7.0,5.0,"Fitness, Hiking, Coding / Programming",I already interact with diverse groups — no barrier,Society / club,Maybe,0.671875,synthetic,Moderate
ANON-2024798,Other,Balochistan,2nd Year,Punjabi,4.0,37.5,37.5,Yes,ACM,0.5,4.0,"Art, Reading, Debating",I already interact with diverse groups — no barrier,Shared classes,Maybe,0.609375,synthetic,Moderate
ANON-2023188,Software Engineering,Punjab,2nd Year,Other,1.0,62.5,12.5,Yes,Project Topi,4.0,5.0,"Hiking, Reading, Fitness",I already interact with diverse groups — no barrier,Hostel wing / roommate,"Yes, definitely",0.671875,synthetic,Moderate
ANON-2023986,Computer Engineering,KPK,1st Year (Freshie),Pashto,12.0,12.5,87.5,No,,0.0,4.0,"Coding / Programming, Fitness, Debating",No shared classes,Hostel wing / roommate,"Yes, definitely",0.890625,synthetic,Moderate
ANON-2025871,Computer Engineering,Punjab,3rd Year,Punjabi,1.0,12.5,37.5,Yes,"Science Society, IEEE",7.0,3.0,"Cooking, Hiking, Music",Never thought about it,Hostel wing / roommate,"Yes, definitely",0.453125,synthetic,Low
ANON-2024306,Data Science,Balochistan,2nd Year,Urdu,1.0,37.5,37.5,Yes,Microsoft Club Giki,0.5,5.0,"Gaming, Football",No shared classes,Shared classes,No,0.609375,synthetic,Moderate
ANON-2023739,Data Science,Balochistan,2nd Year,Pashto,1.0,37.5,12.5,Yes,"ACM, Microsoft Club Giki",0.5,5.0,"Cooking, Cricket, Travelling",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.453125,synthetic,Low
ANON-2025155,Computer Science (CS),Balochistan,2nd Year,Urdu,4.0,12.5,37.5,Yes,Science Society,1.5,5.0,"Coding / Programming, Music, Reading, Art",Social anxiety,Society / club,"Yes, definitely",0.453125,synthetic,Low
ANON-2024516,Data Science,Punjab,2nd Year,Pashto,4.0,62.5,12.5,Yes,"Project Topi, Microsoft Club Giki",4.0,4.0,"Cooking, Music, Skating",I already interact with diverse groups — no barrier,Society / club,No,0.671875,synthetic,Moderate
ANON-2023838,Software Engineering,Punjab,4th Year,Urdu,4.0,37.5,12.5,Yes,"ACM, Project Topi",0.5,5.0,"Cooking, Art, Music",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.453125,synthetic,Low
ANON-2023435,Software Engineering,KPK,4th Year,Urdu,4.0,37.5,87.5,Yes,ACM,1.5,5.0,"Art, Coding / Programming, Skating",No shared classes,Hostel wing / roommate,"Yes, definitely",0.921875,synthetic,High
ANON-2024304,Data Science,Balochistan,3rd Year,Urdu,8.0,12.5,87.5,Yes,"Project Topi, Microsoft Club Giki",1.5,5.0,"Music, Reading",I already interact with diverse groups — no barrier,Hostel wing / roommate,"Yes, definitely",0.890625,synthetic,Moderate
ANON-2024995,Computer Science (CS),Punjab,2nd Year,Urdu,4.0,87.5,37.5,No,,0.0,5.0,"Art, Hiking",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.921875,synthetic,High
ANON-2023756,Software Engineering,KPK,1st Year (Freshie),Urdu,4.0,37.5,37.5,Yes,IEEE,1.5,5.0,"Fitness, Cooking",I already interact with diverse groups — no barrier,Hostel wing / roommate,"Yes, definitely",0.609375,synthetic,Moderate
ANON-2024786,Data Science,KPK,3rd Year,Urdu,1.0,12.5,37.5,Yes,Microsoft Club Giki,1.5,5.0,"Travelling, Art, Fitness, Football",Lack of time,Society / club,"Yes, definitely",0.453125,synthetic,Low
ANON-2024140,Computer Science (CS),Balochistan,1st Year (Freshie),Urdu,8.0,62.5,62.5,Yes,"ACM, Microsoft Club Giki",4.0,4.0,"Travelling, Reading, Music",I already interact with diverse groups — no barrier,Random / organic,Maybe,0.859375,synthetic,High
ANON-2024809,Other,Sindh,2nd Year,Other,4.0,62.5,62.5,Yes,Microsoft Club Giki,4.0,1.0,"Music, Hiking, Travelling",Lack of time,Hostel wing / roommate,No,0.859375,synthetic,High
ANON-2023569,Data Science,KPK,1st Year (Freshie),Urdu,4.0,62.5,87.5,Yes,GDSC,4.0,3.0,"Art, Cooking, Hiking, Travelling",Lack of time,Society / club,Maybe,0.953125,synthetic,High
ANON-2023186,Electrical Engineering (EE),Punjab,2nd Year,Other,8.0,37.5,12.5,Yes,"IEEE, Microsoft Club Giki",4.0,4.0,"Cooking, Reading, Coding / Programming",Never thought about it,Society / club,Maybe,0.453125,synthetic,Low
ANON-2024700,Data Science,KPK,2nd Year,Other,8.0,37.5,37.5,No,,0.0,5.0,"Reading, Gaming, Travelling",Never thought about it,Shared classes,"Yes, definitely",0.609375,synthetic,Moderate
ANON-2024539,Computer Science (CS),Punjab,2nd Year,Urdu,4.0,12.5,62.5,Yes,Microsoft Club Giki,4.0,5.0,"Fitness, Hiking, Art, Travelling",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.671875,synthetic,Moderate
ANON-2024679,Computer Engineering,KPK,2nd Year,Urdu,4.0,12.5,12.5,Yes,"ACM, Microsoft Club Giki",4.0,5.0,"Travelling, Debating, Hiking",I already interact with diverse groups — no barrier,Society / club,No,0.234375,synthetic,Low
ANON-2024124,Data Science,Punjab,2nd Year,Pashto,4.0,37.5,62.5,Yes,"Science Society, GDSC",4.0,5.0,"Cooking, Art, Coding / Programming, Debating",Lack of time,Society / club,"Yes, definitely",0.765625,synthetic,Moderate
ANON-2024939,Computer Engineering,KPK,3rd Year,Punjabi,4.0,37.5,12.5,Yes,IEEE,0.5,5.0,"Music, Coding / Programming, Cooking, Travelling",I already interact with diverse groups — no barrier,Hostel wing / roommate,Maybe,0.453125,synthetic,Low
